iter	Passed	Remaining
0	144	144471
1	145	72541
2	145	48510
3	146	36482
4	147	29323
5	148	24520
6	148	21083
7	149	18503
8	149	16501
9	150	14896
10	151	13586
11	151	12493
12	152	11563
13	153	10784
14	153	10099
15	154	9492
16	154	8957
17	155	8483
18	156	8058
19	156	7676
20	157	7331
21	157	7017
22	158	6732
23	159	6468
24	159	6228
25	160	6004
26	160	5796
27	161	5603
28	162	5424
29	162	5256
30	163	5102
31	163	4956
32	164	4819
33	165	4689
34	165	4569
35	166	4456
36	167	4346
37	167	4243
38	168	4144
39	168	4051
40	169	3962
41	169	3877
42	170	3796
43	171	3720
44	171	3646
45	172	3578
46	173	3511
47	173	3446
48	174	3383
49	174	3323
50	175	3266
51	176	3210
52	176	3157
53	177	3106
54	178	3059
55	178	3013
56	179	2969
57	180	2924
58	180	2880
59	181	2839
60	181	2799
61	182	2759
62	183	2722
63	183	2686
64	184	2654
65	185	2621
66	185	2588
67	186	2555
68	187	2523
69	187	2493
70	188	2463
71	188	2435
72	189	2406
73	190	2380
74	190	2354
75	191	2328
76	192	2303
77	192	2278
78	193	2254
79	194	2231
80	194	2207
81	195	2185
82	195	2159
83	196	2138
84	196	2118
85	197	2098
86	198	2078
87	198	2058
88	199	2039
89	199	2020
90	200	2001
91	201	1983
92	201	1966
93	202	1948
94	202	1933
95	203	1916
96	204	1900
97	204	1884
98	205	1868
99	205	1853
100	206	1839
101	207	1824
102	207	1809
103	208	1794
104	208	1780
105	209	1768
106	210	1755
107	210	1741
108	211	1728
109	211	1715
110	212	1702
111	213	1689
112	213	1676
113	214	1664
114	214	1652
115	215	1640
116	215	1629
117	216	1618
118	217	1607
119	217	1596
120	218	1584
121	218	1573
122	219	1562
123	219	1551
124	220	1541
125	220	1530
126	221	1520
127	221	1511
128	222	1502
129	223	1493
130	223	1484
131	224	1475
132	224	1465
133	225	1456
134	226	1448
135	226	1439
136	227	1431
137	227	1422
138	228	1414
139	229	1406
140	229	1398
141	230	1389
142	230	1382
143	231	1374
144	231	1366
145	232	1359
146	232	1351
147	233	1344
148	234	1337
149	234	1330
150	235	1323
151	235	1316
152	236	1308
153	236	1301
154	237	1294
155	238	1287
156	238	1281
157	239	1274
158	239	1267
159	240	1260
160	240	1253
161	241	1248
162	241	1242
163	242	1236
164	243	1230
165	243	1225
166	244	1219
167	245	1214
168	245	1208
169	246	1203
170	247	1199
171	247	1193
172	248	1188
173	249	1182
174	249	1176
175	250	1171
176	250	1165
177	251	1159
178	251	1154
179	252	1149
180	252	1144
181	253	1139
182	254	1134
183	254	1129
184	255	1123
185	255	1118
186	256	1113
187	256	1108
188	257	1103
189	257	1098
190	258	1094
191	258	1089
192	259	1085
193	260	1081
194	260	1077
195	261	1072
196	262	1068
197	262	1063
198	263	1059
199	263	1054
200	264	1050
201	264	1045
202	265	1041
203	266	1038
204	266	1034
205	267	1030
206	268	1026
207	268	1022
208	269	1019
209	269	1015
210	270	1011
211	270	1007
212	271	1003
213	272	1000
214	272	996
215	273	992
216	273	988
217	274	984
218	275	980
219	275	977
220	276	973
221	276	969
222	277	965
223	277	961
224	278	958
225	278	955
226	279	952
227	280	948
228	280	944
229	281	941
230	281	937
231	282	934
232	282	930
233	283	927
234	283	924
235	284	921
236	285	918
237	285	914
238	286	911
239	286	907
240	287	904
241	287	901
242	288	898
243	288	895
244	289	892
245	290	889
246	290	887
247	291	884
248	292	881
249	292	878
250	293	875
251	294	873
252	294	870
253	295	867
254	295	864
255	296	861
256	297	859
257	297	856
258	298	854
259	299	851
260	299	848
261	300	846
262	301	843
263	301	841
264	302	838
265	302	835
266	303	833
267	304	830
268	304	828
269	305	825
270	306	823
271	306	820
272	307	817
273	307	815
274	308	812
275	308	810
276	309	808
277	310	805
278	311	803
279	311	801
280	312	799
281	312	796
282	313	794
283	314	791
284	314	789
285	315	786
286	315	785
287	316	782
288	317	780
289	317	777
290	318	775
291	318	772
292	319	770
293	319	768
294	320	765
295	320	763
296	321	760
297	322	758
298	322	756
299	323	754
300	323	751
301	324	749
302	324	747
303	325	745
304	326	743
305	326	740
306	327	738
307	327	736
308	328	734
309	329	732
310	329	730
311	330	728
312	330	726
313	331	724
314	331	721
315	332	719
316	333	717
317	333	715
318	334	713
319	335	712
320	335	710
321	336	708
322	337	706
323	337	704
324	338	702
325	338	700
326	339	698
327	340	696
328	341	695
329	341	693
330	342	691
331	343	690
332	343	688
333	344	686
334	344	684
335	345	682
336	346	680
337	346	679
338	347	677
339	348	675
340	348	673
341	349	672
342	349	670
343	350	668
344	351	666
345	351	665
346	352	663
347	353	661
348	353	660
349	354	658
350	355	656
351	355	655
352	356	653
353	357	651
354	357	649
355	358	648
356	358	646
357	359	644
358	360	643
359	360	641
360	361	639
361	362	638
362	362	636
363	363	634
364	364	633
365	364	631
366	365	630
367	366	628
368	366	627
369	367	625
370	368	624
371	368	622
372	369	621
373	370	619
374	370	618
375	371	616
376	372	615
377	372	613
378	373	611
379	374	610
380	374	608
381	375	607
382	376	605
383	376	604
384	377	603
385	378	602
386	379	601
387	380	600
388	381	598
389	381	597
390	382	595
391	383	594
392	383	592
393	384	591
394	385	589
395	385	588
396	386	586
397	387	585
398	387	584
399	388	582
400	389	581
401	389	579
402	390	578
403	391	577
404	392	575
405	392	574
406	393	572
407	393	571
408	394	569
409	394	568
410	395	566
411	396	565
412	396	564
413	397	563
414	398	561
415	399	560
416	399	559
417	400	557
418	401	556
419	401	554
420	402	553
421	403	552
422	404	551
423	405	550
424	405	548
425	406	547
426	406	546
427	407	544
428	408	543
429	408	541
430	409	540
431	409	539
432	410	537
433	411	536
434	412	535
435	412	533
436	413	532
437	413	531
438	414	529
439	415	528
440	416	527
441	417	526
442	418	525
443	418	524
444	419	523
445	420	521
446	420	520
447	421	519
448	422	518
449	422	516
450	423	515
451	424	514
452	424	513
453	425	511
454	426	510
455	426	509
456	427	507
457	428	506
458	428	505
459	429	504
460	430	502
461	430	501
462	431	500
463	431	498
464	432	497
465	433	496
466	433	495
467	434	494
468	435	492
469	435	491
470	436	490
471	437	489
472	438	488
473	438	486
474	439	485
475	440	484
476	441	483
477	441	482
478	442	481
479	443	479
480	443	478
481	444	477
482	445	476
483	445	475
484	446	473
485	446	472
486	447	471
487	448	470
488	448	469
489	449	467
490	450	466
491	450	465
492	451	464
493	452	463
494	452	461
495	453	460
496	453	459
497	454	458
498	455	457
499	455	455
500	456	455
501	457	453
502	458	452
503	458	451
504	459	450
505	460	449
506	461	448
507	462	447
508	462	446
509	463	445
510	464	444
511	464	442
512	465	441
513	466	440
514	467	439
515	467	438
516	468	437
517	469	436
518	470	435
519	470	434
520	471	433
521	472	432
522	472	431
523	473	429
524	473	428
525	474	427
526	475	426
527	476	425
528	476	424
529	477	423
530	477	422
531	478	421
532	479	419
533	479	418
534	480	417
535	481	416
536	481	415
537	482	414
538	482	413
539	483	411
540	484	410
541	484	409
542	485	408
543	486	407
544	486	406
545	487	405
546	488	404
547	489	403
548	489	402
549	490	401
550	491	400
551	492	399
552	492	398
